,agencia,decisao,canal,DT_PROPOSTA,regra,publico,segmento,cheque_especial,qtd,Score_A,Score_B,TimeOut_A,TimeOut_B,Limite,lat,lon
121,10,NEGAR,Mobile Banking PF,2021-09-14,05,PF,Alta Renda,FALSE,6083,46,55,Consulta OK,Consulta OK,0,-23.22823571079068,-46.613119775832644
122,7,NEGAR,Internet Banking PJ,2021-09-20,02,PJ,Média Renda,FALSE,6398,314,76,Consulta OK,Consulta OK,0,-23.57980071216113,-46.50102434023664
123,10,NEGAR,Internet Banking PF,2021-09-06,05,PF,Massificado,FALSE,4420,455,91,Consulta OK,Consulta OK,0,-23.36226321026601,-46.463011364862666
124,10,NEGAR,Mobile Banking PJ,2021-09-04,01,PJ,Média Renda,TRUE,3099,180,24,Consulta OK,Consulta OK,0,-23.62235224407865,-46.18969719845902
125,16,NEGAR,Agência Física PF,2021-09-13,05,PF,Massificado,FALSE,4335,344,52,Consulta OK,Consulta OK,0,-23.596863120959963,-47.093439937766476
126,1,DERIVAR,Agência Física PF,2021-09-18,06,PF,Altíssima Renda,TRUE,2622,130,29,Consulta OK,Consulta OK,0,-23.86814656331166,-46.48203478203428
127,5,NEGAR,Internet Banking PF,2021-09-13,02,PF,Alta Renda,FALSE,4811,113,42,Consulta OK,Consulta OK,0,-23.768034019986526,-46.52718671552482
128,3,DERIVAR,Internet Banking PF,2021-09-07,07,PF,Alta Renda,FALSE,5650,179,44,Consulta OK,Consulta OK,0,-23.311648247728147,-46.55470702798016
129,5,DERIVAR,Internet Banking PJ,2021-09-14,06,PJ,Média Renda,TRUE,382,203,5,Consulta OK,Consulta OK,0,-24.02812605756064,-46.607823384259206
130,15,NEGAR,Internet Banking PJ,2021-09-08,03,PJ,Altíssima Renda,FALSE,6952,18,103,Consulta OK,TimeOut,0,-23.553757013824963,-46.37470079644654
131,1,NEGAR,Internet Banking PJ,2021-09-02,01,PJ,Altíssima Renda,FALSE,3887,78,66,Consulta OK,Consulta OK,0,-23.283427814985007,-46.37517118351409
132,14,NEGAR,Mobile Banking PF,2021-09-18,02,PF,Massificado,FALSE,3292,500,73,Consulta OK,Consulta OK,0,-23.301592578643092,-46.590858720696204
133,9,DERIVAR,Internet Banking PJ,2021-09-05,07,PJ,Massificado,FALSE,2844,110,41,Consulta OK,Consulta OK,0,-23.73667402337025,-46.50355883684098
134,1,DERIVAR,Internet Banking PJ,2021-09-09,09,PJ,Alta Renda,TRUE,2907,1,104,Consulta OK,TimeOut,0,-23.530863988194792,-46.767280691371866
135,17,NEGAR,Mobile Banking PF,2021-09-09,04,PF,Média Renda,FALSE,3388,160,74,Consulta OK,Consulta OK,0,-23.541512889574022,-46.684521262925074
136,3,NEGAR,Agência Física PJ,2021-09-14,05,PJ,Altíssima Renda,FALSE,4365,25,62,Consulta OK,Consulta OK,0,-23.520483017705352,-46.854474623835124
137,1,DERIVAR,Mobile Banking PF,2021-09-17,08,PF,Massificado,FALSE,2331,403,109,Consulta OK,TimeOut,0,-23.781865063296696,-46.49965680287251
138,9,APROVAR,Agência Física PF,2021-09-14,10,PF,Alta Renda,TRUE,5262,406,57,Consulta OK,Consulta OK,7208940,-23.35669758201599,-46.79368719236082
139,9,DERIVAR,Mobile Banking PJ,2021-09-09,06,PJ,Alta Renda,FALSE,3947,46,45,Consulta OK,Consulta OK,0,-24.003288715377664,-46.52873173327903
140,14,NEGAR,Agência Física PJ,2021-09-16,02,PJ,Média Renda,FALSE,1186,159,104,Consulta OK,TimeOut,0,-23.379823851078935,-46.664911182254095
141,1,DERIVAR,Internet Banking PJ,2021-09-20,07,PJ,Massificado,FALSE,4699,477,32,Consulta OK,Consulta OK,0,-23.765497499158776,-46.75311155961479
142,19,NEGAR,Mobile Banking PF,2021-09-03,04,PF,Massificado,FALSE,3311,210,45,Consulta OK,Consulta OK,0,-23.66080568656684,-46.895728066644196
143,14,DERIVAR,Mobile Banking PF,2021-09-14,09,PF,Massificado,FALSE,1839,3,66,Consulta OK,Consulta OK,0,-23.356456822331715,-46.80761964106264
144,17,APROVAR,Mobile Banking PJ,2021-09-07,10,PJ,Média Renda,FALSE,3873,344,63,Consulta OK,Consulta OK,2068182,-23.53334555018284,-46.816830543804556
145,8,DERIVAR,Internet Banking PJ,2021-09-16,07,PJ,Massificado,FALSE,3051,222,72,Consulta OK,Consulta OK,0,-23.564544273330938,-46.66475881230607
146,12,DERIVAR,Internet Banking PJ,2021-09-14,06,PJ,Alta Renda,FALSE,1232,300,67,Consulta OK,Consulta OK,0,-23.50263949304474,-46.63691786160794
147,7,NEGAR,Agência Física PJ,2021-09-20,01,PJ,Alta Renda,TRUE,6836,333,9,Consulta OK,Consulta OK,0,-23.57649584379703,-46.46455418658053
148,12,DERIVAR,Mobile Banking PF,2021-09-09,09,PF,Altíssima Renda,TRUE,1136,506,94,TimeOut,Consulta OK,0,-23.31051707530706,-46.47582251224039
149,6,APROVAR,Agência Física PF,2021-09-20,10,PF,Massificado,FALSE,2394,132,72,Consulta OK,Consulta OK,1532160,-23.20790213175712,-46.355752679007146
150,6,NEGAR,Mobile Banking PJ,2021-09-11,03,PJ,Massificado,TRUE,6161,550,72,TimeOut,Consulta OK,0,-23.279276129087453,-46.90305599107877
151,4,DERIVAR,Internet Banking PF,2021-09-14,08,PF,Alta Renda,FALSE,1836,460,19,Consulta OK,Consulta OK,0,-23.65541722961671,-46.477074565408074
152,10,DERIVAR,Mobile Banking PJ,2021-09-10,08,PJ,Média Renda,TRUE,6962,184,4,Consulta OK,Consulta OK,0,-23.607496335676185,-46.77213026644918
153,9,NEGAR,Mobile Banking PJ,2021-09-01,01,PJ,Alta Renda,FALSE,2288,89,39,Consulta OK,Consulta OK,0,-23.459671801293176,-46.825985744693405
154,14,NEGAR,Agência Física PJ,2021-09-13,02,PJ,Massificado,FALSE,3560,479,76,Consulta OK,Consulta OK,0,-23.20462501737909,-46.7658248705079
155,16,NEGAR,Agência Física PJ,2021-09-03,01,PJ,Altíssima Renda,TRUE,5143,109,40,Consulta OK,Consulta OK,0,-23.680161513546917,-46.904951039943384
156,19,NEGAR,Mobile Banking PF,2021-09-18,04,PF,Massificado,TRUE,1888,104,26,Consulta OK,Consulta OK,0,-23.69273283630962,-46.67640734265402
157,20,NEGAR,Mobile Banking PJ,2021-09-17,03,PJ,Altíssima Renda,FALSE,2065,184,77,Consulta OK,Consulta OK,0,-23.3595691018462,-46.4451065465392
158,5,NEGAR,Mobile Banking PF,2021-09-16,04,PF,Massificado,FALSE,3660,419,88,Consulta OK,Consulta OK,0,-23.30197930042911,-46.594652854717175
159,3,DERIVAR,Agência Física PF,2021-09-18,06,PF,Alta Renda,FALSE,5092,315,16,Consulta OK,Consulta OK,0,-23.606667584074454,-46.664527826181235
160,15,DERIVAR,Internet Banking PJ,2021-09-17,08,PJ,Altíssima Renda,FALSE,6950,159,53,Consulta OK,Consulta OK,0,-23.49602368473501,-46.252850185473626
161,18,NEGAR,Agência Física PF,2021-09-01,02,PF,Média Renda,FALSE,3899,184,30,Consulta OK,Consulta OK,0,-23.322325227541047,-46.83682669119095
162,17,DERIVAR,Agência Física PF,2021-09-12,09,PF,Média Renda,TRUE,3541,228,58,Consulta OK,Consulta OK,0,-23.47016166961231,-46.71571185384156
